iter	Passed	Remaining
403	10098	14897
404	10120	14867
405	10143	14840
406	10168	14815
407	10191	14788
408	10213	14759
409	10238	14732
410	10263	14708
411	10285	14679
412	10308	14650
413	10329	14620
414	10352	14593
415	10375	14566
416	10401	14541
417	10426	14517
418	10449	14489
419	10475	14465
420	10503	14445
421	10530	14423
422	10558	14403
423	10582	14376
424	10604	14347
425	10627	14320
426	10653	14295
427	10675	14267
428	10699	14241
429	10723	14215
430	10746	14187
431	10771	14162
432	10794	14135
433	10820	14110
434	10844	14084
435	10867	14058
436	10890	14030
437	10914	14004
438	10938	13978
439	10961	13950
440	10984	13924
441	11007	13896
442	11029	13867
443	11053	13841
444	11074	13812
445	11098	13786
446	11121	13759
447	11145	13732
448	11168	13705
449	11190	13677
450	11215	13652
451	11239	13626
452	11261	13598
453	11283	13569
454	11307	13544
455	11330	13516
456	11354	13491
457	11377	13464
458	11399	13436
459	11422	13408
460	11444	13380
461	11466	13352
462	11487	13323
463	11512	13298
464	11535	13271
465	11560	13247
466	11587	13224
467	11613	13202
468	11640	13179
469	11664	13153
470	11687	13126
471	11709	13099
472	11731	13070
473	11754	13044
474	11777	13017
475	11798	12987
476	11818	12958
477	11840	12930
478	11862	12902
479	11887	12877
480	11908	12849
481	11932	12824
482	11954	12796
483	11979	12772
484	12004	12747
485	12029	12722
486	12056	12700
487	12085	12679
488	12111	12656
489	12138	12634
490	12161	12607
491	12183	12579
492	12207	12554
493	12231	12528
494	12253	12500
495	12275	12473
496	12298	12446
497	12321	12419
498	12344	12394
499	12371	12371
500	12401	12351
501	12428	12329
502	12454	12306
503	12482	12284
504	12505	12258
505	12529	12231
506	12552	12205
507	12574	12178
508	12597	12151
509	12627	12132
510	12654	12109
511	12679	12085
512	12702	12058
513	12727	12034
514	12750	12007
515	12774	11982
516	12798	11957
517	12823	11932
518	12848	11907
519	12871	11881
520	12895	11855
521	12917	11829
522	12941	11803
523	12966	11778
524	12990	11753
525	13011	11725
526	13036	11700
527	13060	11675
528	13085	11650
529	13110	11625
530	13133	11600
531	13157	11574
532	13181	11549
533	13204	11522
534	13228	11497
535	13252	11472
536	13276	11447
537	13300	11421
538	13323	11395
539	13347	11370
540	13371	11344
541	13394	11318
542	13416	11291
543	13438	11264
544	13461	11238
545	13484	11212
546	13506	11185
547	13528	11158
548	13552	11133
549	13574	11106
550	13596	11079
551	13620	11054
552	13642	11027
553	13666	11002
554	13689	10975
555	13713	10950
556	13735	10924
557	13758	10897
558	13780	10871
559	13801	10844
560	13822	10816
561	13847	10792
562	13873	10768
563	13896	10742
564	13917	10715
565	13940	10689
566	13962	10662
567	13986	10637
568	14009	10611
569	14031	10585
570	14055	10559
571	14076	10533
572	14100	10507
573	14123	10482
574	14146	10456
575	14168	10429
576	14193	10405
577	14216	10379
578	14243	10356
579	14265	10330
580	14287	10303
581	14310	10278
582	14334	10253
583	14356	10226
584	14379	10200
585	14403	10175
586	14425	10149
587	14448	10123
588	14471	10098
589	14497	10074
590	14521	10049
591	14545	10024
592	14570	10000
593	14593	9974
594	14617	9949
595	14640	9923
596	14663	9898
597	14689	9874
598	14715	9851
599	14738	9825
600	14759	9798
601	14781	9772
602	14806	9747
603	14828	9722
604	14852	9697
605	14876	9672
606	14899	9646
